Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
moons,5000.0,2.0,8e-05,20.0,False,True,4.118693828582764,1.0768792629241943,1.0,0.9986966735039924,0.2868099212646484,0.9997269946834968,0.998502300511839
moons,5000.0,2.0,8e-05,20.0,False,True,4.180749893188477,1.0242397785186768,0.9997300001187936,0.8750983397780259,0.285128116607666,1.0,0.8752951351402954
moons,5000.0,2.0,8e-05,20.0,False,True,4.260662794113159,1.0656981468200684,0.9997317126424036,0.9986818513279876,0.2900645732879638,0.9994639244657944,0.9985363495039938
moons,5000.0,2.0,8e-05,30.0,False,True,5.462991237640381,1.0495758056640625,0.9994624995532928,0.9982041632959456,0.2887063026428222,1.0,0.9989032524478676
moons,5000.0,2.0,8e-05,30.0,False,True,5.426063776016235,1.0644114017486572,0.9994603580485876,0.9985427705919004,0.287738561630249,0.9991904301559476,0.9985432400959002
moons,5000.0,2.0,8e-05,30.0,False,True,5.454634189605713,1.0130484104156494,0.9989218605255192,0.8752582797134066,0.2865481376647949,0.9994585702072536,0.9986125688637476
moons,5000.0,2.0,8e-05,30.0,False,True,5.385495662689209,1.0441296100616455,0.9994596422421084,0.998290350816042,0.2903342247009277,0.9991899997983644,0.9986372143997404
moons,5000.0,2.0,8e-05,30.0,False,True,5.590322494506836,1.0404014587402344,0.9994599995675482,0.998752096863754,0.2861101627349853,0.9991910714694078,0.9987525032317548
gaussian-sparse,4999.0,2.0,7.9984e-05,10.0,False,True,3.113828420639038,1.1121771335601809,1.0,0.99753838095595,0.3121154308319092,1.0,0.9975321648110108
gaussian-sparse,4999.0,2.0,7.9984e-05,10.0,False,True,3.208580493927002,1.0949079990386963,1.0,0.9975869371558522,0.3122360706329345,1.0,0.9976145532421874
gaussian-sparse,4999.0,2.0,7.9984e-05,10.0,False,True,2.996610164642334,1.0975868701934814,1.0,0.9974254371071968,0.3112432956695556,1.0,0.997450389259498
gaussian-sparse,4999.0,2.0,7.9984e-05,10.0,False,True,3.121531248092652,1.1026086807250977,1.0,0.9974686078684768,0.3112890720367431,1.0,0.9974908370753288
gaussian-sparse,4999.0,2.0,7.9984e-05,10.0,False,True,2.998034715652466,1.11999773979187,1.0,0.997406259234766,0.3154187202453613,1.0,0.9974221012180609
gaussian-sparse,4999.0,2.0,7.9984e-05,20.0,False,True,4.235548496246338,1.1355345249176023,1.0,0.9985537892470908,0.3138983249664306,1.0,0.9985544291509578
gaussian-sparse,4999.0,2.0,7.9984e-05,20.0,False,True,4.226960182189941,1.1716203689575195,1.0,0.9986830009025832,0.3120386600494385,1.0,0.9986800377170284
gaussian-sparse,4999.0,2.0,7.9984e-05,20.0,False,True,4.291004657745361,1.1281676292419434,1.0,0.9987025430575316,0.31398606300354,1.0,0.998704601860566
gaussian-sparse,4999.0,2.0,7.9984e-05,20.0,False,True,4.584882497787476,1.1655266284942627,1.0,0.9986638846351144,0.3151144981384277,1.0,0.9986697704058708
